address_id,city,state_province,postal_code,country
1,Clinton,NE,68878,US
2,Clinton,NE,68878,US
3,Chester,LA,38785,US
4,Chester,LA,38785,US
5,Seattle,WA,99353,US
6,Chester,WI,26483,US
7,Clinton,WI,17716,US
8,Salem,AR,54473,US
9,Riverside,ID,87992,US
10,Fairview,MD,95717,US
11,Fairview,MD,95717,US
12,Georgetown,MD,26704,US
13,Edmonton,AB,N7K 5H1,CA
14,Salem,VA,10221,US
15,Chester,IN,72021,US
16,Fairview,OK,51588,US
17,Fairview,WY,12560,US
18,Fairview,WY,12560,US
19,Clinton,MN,95215,US
20,Springfield,MN,59192,US
21,Clinton,MN,95215,US
22,Bellevue,WA,45179,US
23,Bellevue,WA,45179,US
24,Bellevue,WA,45179,US
25,Bristol,WV,46241,US
26,Bristol,WV,46241,US
27,Madison,NH,87139,US
28,Madison,NH,87139,US
29,Madison,NH,87139,US
30,Fairview,OR,12719,US
31,Springfield,NE,34586,US
32,Franklin,NE,76698,US
33,Chester,NU,V6N 9Y6,CA
34,Chester,NU,V6N 9Y6,CA
35,Bristol,VA,80912,US
36,Bristol,VA,80912,US
37,Bristol,VA,80912,US
38,Madison,OR,48696,US
39,Madison,OR,48696,US
40,San Francisco,CA,39571,US
41,Georgetown,NJ,97881,US
42,Georgetown,NJ,97881,US
43,Chester,NJ,40539,US
44,Winston-Salem,NC,24293,US
45,Salem,IN,69186,US
46,Madison,PE,P2X 4G7,CA
47,Tacoma,WA,84395,US
48,Winston-Salem,NC,97562,US
49,Naperville,IL,56019,US
50,Springfield,OK,68947,US
51,Springfield,OK,68947,US
52,Grand Rapids,MI,97833,US
53,Salem,ME,75916,US
54,Georgetown,TN,29142,US
55,Bristol,TN,77551,US
56,Springfield,NM,93318,US
57,Springfield,NM,93318,US
58,Georgetown,DE,67272,US
59,Franklin,WV,14081,US
60,Clinton,NH,90199,US
61,Bristol,NH,58353,US
62,Clinton,NH,90199,US
63,Aurora,CO,35729,US
64,Aurora,CO,35729,US
65,Salem,NS,G6X 9E5,CA
66,Georgetown,KY,62855,US
67,Madison,SC,87820,US
68,Fairview,WY,71814,US
69,Georgetown,MT,29198,US
70,Georgetown,MT,28018,US
71,Madison,MT,21725,US
72,Chester,TN,78723,US
73,Bellevue,WA,11498,US
74,Bellevue,WA,11498,US
75,New York,NY,76895,US
76,Chester,UT,27431,US
77,Springfield,RI,68515,US
78,Springfield,RI,68515,US
79,Hamilton,ON,S9X 3R3,CA
80,Hamilton,ON,S9X 3R3,CA
81,Franklin,IA,12125,US
82,Franklin,VA,11198,US
83,Franklin,VA,11198,US
84,Reno,NV,84167,US
85,Sparks,NV,61007,US
86,Reno,NV,84167,US
87,Georgetown,MO,57277,US
88,Georgetown,MO,57277,US
89,Georgetown,MT,91289,US
90,Georgetown,MT,91289,US
91,Akron,OH,64827,US
92,Akron,OH,64827,US
93,Springfield,MD,25084,US
94,Springfield,MD,25084,US
95,Springfield,MD,25084,US
96,Franklin,DE,58929,US
97,Franklin,DE,58929,US
98,Riverside,OR,45112,US
99,Riverside,OR,45112,US
100,Franklin,MB,K3N 4R7,CA
101,Springfield,YT,B2T 1E2,CA
102,Springfield,YT,B2T 1E2,CA
103,Springfield,YT,B2T 1E2,CA
104,Reno,NV,28327,US
105,Las Vegas,NV,27299,US
106,Savannah,GA,20957,US
107,Savannah,GA,20957,US
108,Franklin,MS,43438,US
109,Madison,YT,N2Y 8A5,CA
110,Hamilton,ON,P8C 2X2,CA
111,Hamilton,ON,P8C 2X2,CA
112,Bristol,MT,82869,US
113,Madison,ID,46681,US
114,Madison,ID,46681,US
115,Dallas,TX,44934,US
116,Dallas,TX,44934,US
117,Franklin,AK,86888,US
118,Fairview,AK,48602,US
119,Franklin,AK,86888,US
120,Salem,HI,74629,US
121,Salem,HI,74629,US
122,Bristol,RI,36171,US
123,Riverside,RI,80968,US
124,Bristol,RI,36171,US
125,Quebec City,QC,L6C 2R8,CA
126,Springfield,NS,N5M 5V1,CA
127,Springfield,KS,69827,US
128,Fairview,ID,11109,US
129,Clinton,ND,17441,US
130,Clinton,ND,17441,US
131,Springfield,NU,C8J 9E6,CA
132,Chester,YT,J1A 4K5,CA
133,Springfield,SC,87846,US
134,Springfield,HI,81845,US
135,Springfield,WI,11267,US
136,Springfield,WI,11267,US
137,Springfield,WI,11267,US
138,Salem,UT,29484,US
139,Salem,UT,29484,US
140,Bristol,RI,96136,US
141,Raleigh,NC,75382,US
142,Raleigh,NC,75382,US
143,Franklin,MB,X9N 2P8,CA
144,Franklin,MB,X9N 2P8,CA
145,Madison,AL,36619,US
