order_item_id,order_id,product_id,quantity,discount_amount,product_price
1,1,246,5,0.0,709.94
2,2,47,2,0.0,85.17
3,2,241,6,252.5,280.56
4,2,394,2,71.69,238.97
5,2,25,2,0.0,1421.95
6,2,118,3,85.75,285.82
7,3,418,7,0.0,67.05
8,3,236,2,0.0,1142.25
9,4,243,3,0.0,555.05
10,4,380,1,0.0,729.31
11,4,268,1,0.0,254.98
12,5,28,1,44.79,298.62
13,5,229,1,0.0,1479.14
14,5,261,3,185.17,246.89
15,5,265,1,0.0,73.41
16,5,26,4,890.9,1113.63
17,6,276,6,215.77,179.81
18,7,281,2,23.74,59.36
19,8,44,2,0.0,326.93
20,8,143,2,0.0,618.02
21,9,392,2,0.0,598.09
22,9,424,1,3.93,26.23
23,9,303,1,16.88,67.5
24,9,489,1,0.0,150.92
25,9,259,1,0.0,146.12
26,10,130,1,149.09,745.47
27,10,280,10,1883.16,941.58
28,10,129,2,0.0,1432.08
29,10,338,7,0.0,21.79
30,11,476,7,0.0,1161.94
31,12,378,6,0.0,100.56
32,12,249,1,0.0,144.56
33,12,52,1,0.0,105.12
34,13,165,1,0.0,133.28
35,13,413,3,0.0,60.37
36,14,466,2,0.0,937.33
37,14,400,3,0.0,94.03
38,15,142,1,174.48,174.48
39,15,389,3,0.0,327.83
40,15,354,1,0.0,156.7
41,16,48,1,0.0,746.22
42,16,288,4,18.89,31.48
43,16,91,1,0.0,59.47
44,16,293,2,0.0,116.69
45,17,305,2,113.48,378.28
46,17,41,10,0.0,199.76
47,18,51,2,94.33,188.65
48,18,384,2,0.0,39.95
49,18,178,2,345.85,864.62
50,18,208,6,0.0,4.24
51,18,24,10,0.0,19.59
52,19,332,2,0.0,33.87
53,19,13,1,23.8,119.0
54,19,299,2,126.77,253.54
55,20,96,2,0.0,623.82
56,20,361,3,91.69,203.75
57,20,392,1,0.0,598.09
58,21,293,1,0.0,116.69
59,21,284,2,0.0,304.44
60,21,500,5,0.0,48.8
61,22,248,2,0.0,165.29
62,22,84,1,0.0,1161.5
63,22,423,2,0.0,127.71
64,23,480,1,8.04,53.57
65,24,307,1,12.7,126.97
66,24,217,3,0.0,1017.69
67,25,418,3,0.0,67.05
68,26,297,2,0.0,173.45
69,26,9,1,0.0,564.82
70,26,410,3,107.4,143.2
71,27,104,2,0.0,32.71
72,27,301,1,0.0,27.18
73,27,402,5,0.0,224.2
74,28,88,1,59.82,299.08
75,29,149,2,39.03,78.07
76,30,104,3,9.81,32.71
77,30,257,2,0.0,298.33
78,30,76,3,0.0,803.23
79,30,45,2,0.0,217.29
80,30,265,2,0.0,73.41
81,31,415,1,0.0,158.1
82,31,257,2,59.67,298.33
83,31,139,2,0.0,133.83
84,31,332,1,0.0,33.87
85,32,41,2,39.95,199.76
86,33,51,2,37.73,188.65
87,33,277,1,0.0,39.31
88,34,52,2,0.0,105.12
89,35,363,1,0.0,15.2
90,35,211,1,0.0,85.31
91,35,6,1,0.0,119.78
92,36,72,1,0.0,462.01
93,37,220,3,0.0,269.37
94,37,300,1,0.0,281.9
95,38,321,2,0.0,74.05
96,39,477,4,0.0,75.86
97,39,243,4,0.0,555.05
98,39,439,1,0.0,248.98
99,39,395,1,0.0,355.98
100,40,109,5,0.0,134.59
101,40,392,1,598.09,598.09
102,41,461,8,0.0,711.37
103,41,82,4,372.62,931.55
104,41,429,1,2.83,18.9
105,42,107,3,0.0,84.07
106,42,433,1,84.02,210.06
107,43,318,2,0.0,568.37
108,43,254,3,0.0,395.44
109,44,251,1,0.0,393.53
110,44,244,2,0.0,738.47
111,44,10,2,0.0,1211.32
112,45,251,2,0.0,393.53
113,45,393,2,0.0,254.29
114,46,440,1,21.61,216.11
115,46,389,1,0.0,327.83
116,46,353,10,689.84,172.46
117,46,30,1,0.0,386.41
118,46,449,3,0.0,274.42
119,47,198,2,0.0,275.96
120,47,29,1,0.0,129.61
121,48,78,1,0.0,88.98
122,48,105,1,0.0,24.47
123,48,323,1,0.0,283.09
124,48,211,4,0.0,85.31
125,48,261,3,0.0,246.89
126,49,4,1,0.0,147.53
127,49,282,2,5.59,13.98
128,50,443,1,0.0,1258.34
129,51,75,2,203.98,254.98
130,51,191,2,0.0,727.94
131,52,411,1,0.0,84.88
132,53,272,2,0.0,133.08
133,53,321,2,0.0,74.05
134,53,395,2,0.0,355.98
135,53,53,2,0.0,972.57
136,54,390,1,0.0,98.86
137,54,103,2,0.0,408.53
138,54,460,5,198.92,265.23
139,55,41,5,0.0,199.76
140,55,223,1,0.0,282.68
141,56,399,1,0.0,537.25
142,56,252,1,80.96,323.84
143,57,428,2,113.75,379.16
144,57,311,1,0.0,104.55
145,57,226,2,0.0,621.86
146,57,225,4,17.71,11.07
147,58,99,5,0.0,932.42
148,59,156,2,5.72,19.08
149,59,45,2,0.0,217.29
150,59,58,5,0.0,68.4
151,59,157,6,0.0,278.27
152,59,40,1,2.87,28.74
153,60,161,1,331.53,828.82
154,60,210,1,0.0,177.18
155,60,225,1,1.66,11.07
156,60,9,3,254.17,564.82
157,60,478,2,0.0,215.05
158,61,385,7,509.86,485.58
159,61,407,1,26.1,261.02
160,62,196,2,0.0,232.03
161,63,424,3,0.0,26.23
162,63,143,2,0.0,618.02
163,64,307,2,38.09,126.97
164,64,64,3,11.57,25.71
165,65,283,1,0.0,1198.51
166,65,237,3,91.91,204.25
167,65,349,1,127.07,635.35
168,65,295,2,0.0,238.26
169,66,278,3,0.0,71.92
170,66,299,4,253.54,253.54
171,66,440,8,432.22,216.11
172,66,155,3,0.0,2193.18
173,67,233,3,0.0,45.4
174,67,436,1,0.0,80.51
175,67,318,5,0.0,568.37
176,68,343,7,0.0,105.52
177,68,338,1,2.18,21.79
178,68,220,5,538.74,269.37
179,68,203,2,47.09,94.19
180,68,392,1,0.0,598.09
181,69,127,3,0.0,104.13
182,70,318,2,1136.74,568.37
183,70,155,3,0.0,2193.18
184,71,131,2,0.0,15.41
185,72,251,1,157.41,393.53
