cart_id,customer_id,session_id,cart_status,created_at,updated_at
272,440,3a52e1de-1f5c-40e8-ada7-3d0d2753f22e,Abandoned,2018-11-12 15:48:50,2018-11-12 19:48:50
283,230,e20649c2-21b8-402c-be86-be5ef31c8150,Abandoned,2023-05-27 19:49:50,2023-05-28 01:49:50
511,325,cf396e98-168b-46c0-ba09-b59e579fd545,Active,2021-11-20 18:45:30,2021-11-25 12:45:30
92,105,1710e83c-88e4-4286-a241-3686a7b484d0,Converted,2024-12-08 05:50:29,2024-12-08 08:50:29
36,18,a5c3e500-ccfd-4086-91d7-470c97f95b77,Converted,2025-12-21 23:08:03,2025-12-22 03:08:03
542,219,bc6edf61-a1a6-4ef5-a3e0-d9c58e709069,Abandoned,2022-03-27 03:54:46,2022-03-27 12:54:46
164,43,a81e5729-11d5-4ad1-abcf-fb8f32b88b22,Active,2024-03-03 17:16:14,2024-03-07 20:16:14
251,287,85fb8f66-5c99-4aa1-8f74-6f6d93b9263e,Deleted,2025-08-24 12:20:39,2025-09-08 04:20:39
483,296,f9284371-2752-49bc-a2f5-6cb680b8a88f,Abandoned,2025-04-22 02:11:29,2025-04-22 03:11:29
44,280,635bd699-4b3f-4d38-a549-55d5d3779065,Active,2017-08-16 06:29:26,2017-08-22 15:29:26
430,269,d5734020-2fd5-4d48-bef3-789ff5c00fb4,Abandoned,2018-07-22 17:09:53,2018-07-22 18:09:53
510,406,f9be24e9-6c2c-4645-8111-624f166c9d20,Deleted,2023-01-19 08:47:33,2023-02-01 11:47:33
231,445,219789d6-b3fe-469a-a6bb-ca11adeb8820,Abandoned,2022-03-06 18:33:07,2022-03-07 00:33:07
307,355,85e2be22-8cbc-4143-9687-fb30f2532030,Converted,2023-10-21 05:12:39,2023-10-23 21:12:39
427,143,8b7c8f5f-bbe8-44d6-812f-f9d778f87e5f,Abandoned,2021-04-10 15:16:52,2021-04-10 17:16:52
443,232,19527be4-0b71-4021-8672-7218805fef7f,Abandoned,2022-06-04 22:48:06,2022-06-05 09:48:06
232,16,f89a7809-765a-4dc5-8892-3e9f29977fb4,Converted,2019-06-29 16:34:07,2019-06-30 05:34:07
313,106,a1bc6816-d719-410e-8bb6-74ce46d4e459,Deleted,2024-10-18 10:28:16,2024-11-11 10:28:16
101,57,1e02e630-b9f7-489e-b04a-bce258bdf215,Abandoned,2024-07-22 16:15:36,2024-07-22 17:15:36
416,385,a45323fd-9bb5-4a09-8e5b-9db07f66e40b,Active,2022-01-01 13:24:49,2022-01-07 13:24:49
544,389,3d4960a5-8974-4915-8c6a-1f36fad3eb43,Converted,2024-06-21 05:32:31,2024-06-22 10:32:31
280,153,ac98f197-5a3f-4f7d-8bd9-928d03899b45,Active,2022-05-21 19:46:09,2022-05-21 21:46:09
376,129,d2d2d314-ae05-4500-8cbc-f036ec0e5628,Active,2024-12-13 23:00:25,2024-12-17 08:00:25
524,484,65ba8361-5341-41d7-bd67-f923d5d90545,Abandoned,2022-09-15 12:11:45,2022-09-16 00:11:45
47,243,0c3fc922-5d13-4959-9e61-2b022de02de7,Active,2023-07-15 04:41:04,2023-07-16 17:41:04
89,438,e94d20de-71e8-4e18-bf52-c421afa97581,Abandoned,2017-04-27 21:14:24,2017-04-28 01:14:24
138,427,91f9fe89-19a5-4307-915b-e3b9590c39a0,Active,2021-04-06 19:21:56,2021-04-10 16:21:56
68,454,2156441e-ee6e-4ad1-9488-61b66841736d,Abandoned,2024-03-26 10:55:04,2024-03-26 11:55:04
289,19,904f3d8b-6e1a-4188-a77a-3c9799074f11,Deleted,2025-11-06 12:35:08,2025-11-15 02:35:08
540,91,c8d8aaf5-d035-48e4-bfc7-02a5fa3a527d,Deleted,2024-10-22 21:31:51,2024-11-10 20:31:51
200,34,4df0ce1d-ac22-4a07-a7bb-27cd985c88c1,Deleted,2022-03-03 16:02:15,2022-03-12 13:02:15
394,315,ab797763-1cea-42db-b3ee-a4ee9f457570,Active,2025-03-10 22:27:02,2025-03-16 01:27:02
453,211,4c12b667-1de0-4727-8d46-cb4c20533960,Abandoned,2022-11-10 15:13:26,2022-11-10 21:13:26
203,63,bd260936-f37c-4999-886b-62ebc3505cbd,Active,2021-08-29 22:09:52,2021-09-01 14:09:52
240,44,bc7b2c4e-265b-4eca-9cfd-ff20ef566e38,Active,2025-11-29 15:14:15,2025-12-04 14:14:15
11,114,a9eca30f-64a9-4efa-bae5-eadb91536c33,Deleted,2023-07-01 11:32:13,2023-07-26 18:32:13
41,492,76342937-5bec-4573-9b99-bf72f9e8da35,Active,2022-04-21 13:33:57,2022-04-22 09:33:57
441,91,c8d8aaf5-d035-48e4-bfc7-02a5fa3a527d,Converted,2024-10-22 21:27:07,2024-10-25 18:27:07
32,93,7a705245-fd0e-497f-9d41-5064e4ed02ab,Converted,2024-12-08 11:09:42,2024-12-09 18:09:42
115,19,522ac0d2-7457-4298-8c54-995767300cf4,Active,2025-09-13 12:15:10,2025-09-16 13:15:10
428,73,9ad03502-b084-4951-9893-e78909de807e,Active,2025-10-18 02:38:51,2025-10-21 08:38:51
517,212,e15df704-d8e9-47e2-a803-a11f05b5cd53,Active,2025-03-04 16:50:38,2025-03-05 08:50:38
256,3,376a34fb-9761-4c84-a155-84ac935c4887,Abandoned,2022-01-23 20:07:26,2022-01-24 05:07:26
259,308,156b7a0c-09c2-49a5-8f89-fe4c2bbb1f2c,Active,2020-06-18 10:53:55,2020-06-21 06:53:55
