supplier_id,total_products,total_current_stock,total_available_stock,total_reorder_breaches,total_stockouts,total_storage_cost,avg_stock_per_product,last_restock_date,stockout_rate,breach_rate,avg_storage_cost_per_unit,days_since_last_restock,supplier_inventory_health_score
7,13,1992,1843,4,5,108.31,153.23076923076923,2025-12-16,38.46153846153847,30.76923076923077,0.05437248995983936,36,65.38461538461539
15,13,1672,1501,3,3,68.43,128.6153846153846,2025-12-08,23.076923076923077,23.076923076923077,0.04092703349282297,44,76.92307692307692
11,16,1643,1431,7,6,122.42,102.6875,2025-12-09,37.5,43.75,0.07451004260499088,43,59.375
29,8,1575,1415,2,1,93.29999999999998,196.875,2025-10-12,12.5,25.0,0.05923809523809523,101,81.25
42,17,1661,1452,7,6,176.39999999999998,87.42105263157895,2025-12-09,35.294117647058826,41.17647058823529,0.10620108368452738,43,61.76470588235294
3,13,1596,1438,6,4,129.19,122.76923076923077,2025-12-18,30.76923076923077,46.15384615384615,0.08094611528822054,34,61.53846153846153
30,5,766,698,1,0,51.29,153.2,2025-12-04,0.0,20.0,0.06695822454308094,48,90.0
34,11,1163,1025,4,4,103.05000000000001,105.72727272727273,2025-11-08,36.36363636363637,36.36363636363637,0.08860705073086846,74,63.63636363636363
8,15,1912,1719,6,5,113.99,119.5,2025-12-11,33.33333333333333,40.0,0.05961820083682008,41,63.333333333333336
28,12,1979,1866,2,1,61.46,164.91666666666666,2025-12-15,8.333333333333332,16.666666666666664,0.031056088933804953,37,87.5
22,7,1375,1310,0,0,75.35,196.42857142857142,2025-11-28,0.0,0.0,0.054799999999999995,54,100.0
16,14,2192,2088,4,4,94.01,156.57142857142858,2025-12-06,28.57142857142857,28.57142857142857,0.04288777372262774,46,71.42857142857143
35,16,1596,1473,6,3,123.47999999999998,99.75,2025-12-22,18.75,37.5,0.07736842105263156,30,71.875
47,16,2078,1853,6,5,68.82,129.875,2025-12-22,31.25,37.5,0.03311838306063522,30,65.625
43,11,717,650,9,5,66.50999999999999,65.18181818181819,2025-12-22,45.45454545454545,81.81818181818183,0.09276150627615061,30,36.36363636363636
5,14,1000,878,4,3,92.78,71.42857142857143,2025-12-19,21.428571428571427,28.57142857142857,0.09278,33,75.0
31,11,1463,1332,5,5,105.19999999999999,121.91666666666667,2025-11-21,45.45454545454545,45.45454545454545,0.07190704032809295,61,54.54545454545455
18,14,1290,1055,3,1,95.08,92.14285714285714,2025-12-07,7.142857142857142,21.428571428571427,0.07370542635658915,45,85.71428571428572
27,18,1294,1180,7,6,78.65999999999998,71.88888888888889,2025-10-31,33.33333333333333,38.88888888888889,0.06078825347758886,82,63.888888888888886
17,10,1442,1305,3,2,65.44000000000001,144.2,2025-10-20,20.0,30.0,0.04538141470180306,93,75.0
26,14,1786,1622,4,4,42.519999999999996,119.06666666666666,2025-12-18,28.57142857142857,28.57142857142857,0.0238073908174692,34,71.42857142857143
46,11,1526,1364,3,3,89.78,127.16666666666667,2025-12-16,27.27272727272727,27.27272727272727,0.05883355176933159,36,72.72727272727273
6,12,1702,1528,3,2,91.46,141.83333333333334,2025-11-11,16.666666666666664,25.0,0.053736780258519384,71,79.16666666666667
19,18,2768,2506,6,5,123.50999999999999,153.77777777777777,2025-12-17,27.77777777777778,33.33333333333333,0.04462066473988439,35,69.44444444444446
41,8,343,313,5,4,32.12,42.875,2025-11-18,50.0,62.5,0.09364431486880466,64,43.75
23,13,1211,1037,3,2,105.56000000000002,86.5,2025-12-13,15.384615384615385,23.076923076923077,0.08716763005780348,39,80.76923076923077
38,14,1468,1374,4,3,84.90999999999998,104.85714285714286,2025-12-24,21.428571428571427,28.57142857142857,0.05784059945504086,28,75.0
40,6,841,739,3,2,51.04,140.16666666666666,2025-10-22,33.33333333333333,50.0,0.060689655172413794,91,58.333333333333336
25,15,2808,2594,2,2,120.95,187.2,2025-12-08,13.333333333333334,13.333333333333334,0.04307336182336183,44,86.66666666666667
44,7,758,636,3,1,58.3,108.28571428571429,2025-11-10,14.285714285714285,42.857142857142854,0.07691292875989446,72,71.42857142857143
33,13,2058,1883,5,2,68.03999999999999,158.30769230769232,2025-12-17,15.384615384615385,38.46153846153847,0.03306122448979591,35,73.07692307692307
48,12,854,729,5,5,105.32,71.16666666666667,2025-12-11,41.66666666666667,41.66666666666667,0.1233255269320843,41,58.33333333333333
