session_id,customer_id,session_start,session_end,device_type,referrer_source,pages_viewed,products_viewed,conversion_flag,cart_abandonment_flag,session_duration_seconds,session_duration_minutes,session_duration_hours,products_per_page,pages_per_minute,items_added_to_cart,cart_value,orders_from_session,total_pages_viewed,total_products_viewed,converted,abandoned,cart_add_rate,avg_cart_item_value,session_engagement_score,session_type
0013707f-9494-46d9-89cd-6596c3b4553c,360,2025-04-09 10:27:55,2025-04-09 10:28:18,Mobile,Paid Search,1,0,0,0,23,0,0,0.0,0.0,0,0.0,,1,0,0,0,0.0,0.0,0.0,Bounce
0016a26e-1bd2-48b4-aa33-a75d4cfe0966,425,2025-01-30 10:52:32,2025-01-30 10:55:27,Tablet,Organic Search,6,1,0,0,175,2,0,0.16666666666666666,3.0,0,0.0,,6,1,0,0,0.0,0.0,0.0,Browsing
004ebff0-5f88-470c-b915-b1522acf8242,141,2023-08-14 18:21:30,2023-08-14 18:21:58,Desktop,Social Media,5,1,0,1,28,0,0,0.2,0.0,2,2812.8,,5,1,0,1,200.0,1406.4,16.0,Abandoned
0077e1f1-e56c-4b31-9d7d-2b3666585c10,494,2025-10-12 23:13:12,2025-10-12 23:16:12,Tablet,Email,8,1,0,1,180,3,0,0.125,2.6666666666666665,0,0.0,,8,1,0,1,0.0,0.0,0.0,Abandoned
00d325fd-7ecf-4d57-8c37-612940d0f87c,343,2025-12-18 01:36:04,2025-12-18 01:45:42,Wearable,Organic Search,7,4,1,0,578,9,0,0.5714285714285714,0.7777777777777778,0,0.0,,7,4,0,0,0.0,0.0,0.0,Browsing
011dd2cd-685f-4529-88c4-2c6de01f5272,221,2025-07-27 01:26:58,2025-07-27 01:29:39,Tablet,Organic Search,9,2,0,1,161,2,0,0.2222222222222222,4.5,0,0.0,,9,2,0,1,0.0,0.0,0.0,Abandoned
01393d40-1e9e-4918-afd4-770a00464800,185,2019-10-01 12:48:57,2019-10-01 12:49:18,Tablet,Organic Search,4,0,0,0,21,0,0,0.0,0.0,3,3096.76,,4,0,0,0,0.0,1032.2533333333333,18.0,Cart Activity
01744c34-e07f-4eb0-9665-01011ec5e717,177,2020-07-04 17:29:55,2020-07-04 17:42:33,Desktop,Email,26,24,0,0,758,12,0,0.9230769230769231,2.1666666666666665,0,0.0,,26,24,0,0,0.0,0.0,0.0,Browsing
01868e99-8d26-437f-975b-54f1450b243a,437,2022-01-16 10:41:40,2022-01-16 10:41:56,Desktop,Display Ads,4,2,0,0,16,0,0,0.5,0.0,0,0.0,,4,2,0,0,0.0,0.0,0.0,Browsing
01913a9b-3a61-4403-b749-a08ca0f2d2db,275,2018-11-01 00:05:55,2018-11-01 00:08:16,Mobile,Paid Search,4,0,0,0,141,2,0,0.0,2.0,0,0.0,,4,0,0,0,0.0,0.0,0.0,Bounce
01acdb30-55b7-4160-b66e-586d10571c55,419,2025-05-15 18:26:48,2025-05-15 18:39:38,Mobile,Organic Search,21,3,0,1,770,12,0,0.14285714285714285,1.75,0,0.0,,21,3,0,1,0.0,0.0,0.0,Abandoned
